organism_name	taxid	bioproject_accession	bioproject_id	group	subgroup	size_mb	gc	assembly_accession	replicons	wgs	scaffolds	genes	proteins	release_date	modify_date	status	center	biosample_accession
Arabidopsis thaliana	3702	PRJNA10719	10719	Plants	Land Plants	119.668	36.0528	GCA_000001735.1	chromosome 1:NC_003070.9/CP002684.1; chromosome 2:NC_003071.7/CP002685.1; chromosome 3:NC_003074.8/CP002686.1; chromosome 4:NC_003075.7/CP002687.1; chromosome 5:NC_003076.8/CP002688.1; mitochondrion MT:NC_001284.2/Y08501.2; chloroplast Pltd:NC_000932.1/AP000423.1	NA	7	38158	48350	2001-08-13	2017-07-20	Chromosome	The Arabidopsis Information Resource (TAIR)	SAMN03081427
Medicago truncatula	3880	PRJNA10791	10791	Plants	Land Plants	412.924	34.047	GCA_000219495.2	chromosome 1:NC_016407.2/CM001217.2; chromosome 2:NC_016408.2/CM001218.2; chromosome 3:NC_016409.2/CM001219.2; chromosome 4:NC_016410.2/CM001220.2; chromosome 5:NC_016411.2/CM001221.2; chromosome 6:NC_016412.2/CM001222.2; chromosome 7:NC_016413.2/CM001223.2; chromosome 8:NC_016414.2/CM001224.2; chloroplast Pltd:NC_003119.6/AC093544.8	APNO01	2187	51625	57661	2011-08-12	2014-06-18	Chromosome	International Medicago Genome Annotation Group	SAMN02299339
Glycine max	3847	PRJNA19861	19861	Plants	Land Plants	978.972	35.1208	GCA_000004515.3	chromosome 1:NC_016088.2/CM000834.2; chromosome 2:NC_016089.2/CM000835.2; chromosome 3:NC_016090.2/CM000836.2; chromosome 4:NC_016091.2/CM000837.2; chromosome 5:NC_016092.2/CM000838.2; chromosome 6:NC_016093.2/CM000839.2; chromosome 7:NC_016094.2/CM000840.2; chromosome 8:NC_016095.2/CM000841.2; chromosome 9:NC_016096.2/CM000842.2; chromosome 10:NC_016097.2/CM000843.2; chromosome 11:NC_016098.2/CM000844.2; chromosome 12:NC_016099.2/CM000845.2; chromosome 13:NC_016100.2/CM000846.2; chromosome 14:NC_016101.2/CM000847.2; chromosome 15:NC_016102.2/CM000848.2; chromosome 16:NC_016103.2/CM000849.2; chromosome 17:NC_016104.2/CM000850.2; chromosome 18:NC_016105.2/CM000851.2; chromosome 19:NC_016106.2/CM000852.2; chromosome 20:NC_016107.2/CM000853.2; chloroplast Pltd:NC_007942.1/DQ317523.1; mitochondrion MT:NC_020455.1/JX463295.1	ACUP02	1191	58843	71525	2010-01-05	2015-11-04	Chromosome	US DOE Joint Genome Institute (JGI-PGF)	SAMN00002965
Solanum lycopersicum	4081	PRJNA119	119	Plants	Land Plants	823.786	35.7097	GCA_000188115.2	chromosome 1:NC_015438.2/CM001064.2; chromosome 2:NC_015439.2/CM001065.2; chromosome 3:NC_015440.2/CM001066.2; chromosome 4:NC_015441.2/CM001067.2; chromosome 5:NC_015442.2/CM001068.2; chromosome 6:NC_015443.2/CM001069.2; chromosome 7:NC_015444.2/CM001070.2; chromosome 8:NC_015445.2/CM001071.2; chromosome 9:NC_015446.2/CM001072.2; chromosome 10:NC_015447.2/CM001073.2; chromosome 11:NC_015448.2/CM001074.2; chromosome 12:NC_015449.2/CM001075.2; chloroplast Pltd:NC_007898.3/DQ347959.1	AEKE02	3224	30336	36010	2010-12-10	2014-10-16	Chromosome	Solanaceae Genomics Project	SAMN02981290
Oryza sativa Japonica Group	39947	PRJNA12269	12269	Plants	Land Plants	374.423	43.5769	GCA_001433935.1	chromosome 1:NC_029256.1/AP014957.1; chromosome 2:NC_029257.1/AP014958.1; chromosome 3:NC_029258.1/AP014959.1; chromosome 4:NC_029259.1/AP014960.1; chromosome 5:NC_029260.1/AP014961.1; chromosome 6:NC_029261.1/AP014962.1; chromosome 7:NC_029262.1/AP014963.1; chromosome 8:NC_029263.1/AP014964.1; chromosome 9:NC_029264.1/AP014965.1; chromosome 10:NC_029265.1/AP014966.1; chromosome 11:NC_029266.1/AP014967.1; chromosome 12:NC_029267.1/AP014968.1; plasmid B1:NC_001751.1/D00293.1; plastid Pltd:NC_001320.1/X15901.1; mitochondrion MT:NC_011033.1/BA000029.3	NA	58	33185	41070	2015-10-10	2016-03-01	Chromosome	National Institute of Agrobiological Sciences, Japan	SAMD00000397
Hordeum vulgare	4513	PRJEB13020	340103	Plants	Land Plants	9788.86	NA	GCA_900075435.2	NA	FJWB02	72295	NA	NA	2016-08-25	2016-10-17	Scaffold	IBSC	SAMEA3903302
Triticum aestivum	4565	PRJNA392179	392179	Plants	Land Plants	15344.7	46.1	GCA_002220415.2	NA	NMPL02	279439	NA	NA	2017-07-13	2017-07-27	Contig	Johns Hopkins University	SAMN07284949
Zea mays	4577	PRJNA10769	10769	Plants	Land Plants	2135.08	46.9109	GCA_000005005.6	chromosome 1:NC_024459.2/CM007647.1; chromosome 2:NC_024460.2/CM007648.1; chromosome 3:NC_024461.2/CM007649.1; chromosome 4:NC_024462.2/CM000780.4; chromosome 5:NC_024463.2/CM000781.4; chromosome 6:NC_024464.2/CM000782.4; chromosome 7:NC_024465.2/CM007650.1; chromosome 8:NC_024466.2/CM000784.4; chromosome 9:NC_024467.2/CM000785.4; chromosome 10:NC_024468.2/CM000786.4; mitochondrion MT:NC_007982.1/AY506529.1; chloroplast Pltd:NC_001666.2/X86563.2	LPUQ01	598	49295	58411	2010-01-29	2017-06-16	Chromosome	maizesequence	SAMN04296295
Lotus japonicus	34305	PRJDA28941	28941	Plants	Land Plants	394.455	36.6	GCA_000181115.2	NA	BABK02	44464	NA	NA	2008-05-28	2015-08-28	Contig	Kazusa DNA Research Institute	SAMD00011082
Populus trichocarpa	3694	PRJNA10772	10772	Plants	Land Plants	417.287	34.1276	GCA_000002775.2	linkage group LGI:NC_008467.2/; linkage group LGII:NC_008468.2/; linkage group LGIII:NC_008469.2/; linkage group LGIV:NC_008470.2/; linkage group LGIX:NC_008475.2/; linkage group LGV:NC_008471.2/; linkage group LGVI:NC_008472.2/; linkage group LGVII:NC_008473.2/; linkage group LGVIII:NC_008474.2/; linkage group LGX:NC_008476.2/; linkage group LGXI:NC_008477.2/; linkage group LGXII:NC_008478.2/; linkage group LGXIII:NC_008479.2/; linkage group LGXIV:NC_008480.2/; linkage group LGXIX:NC_008485.2/; linkage group LGXV:NC_008481.2/; linkage group LGXVI:NC_008482.2/; linkage group LGXVII:NC_008483.2/; linkage group LGXVIII:NC_008484.2/; chloroplast Pltd:NC_009143.1/EF489041.1	AARH02	2514	41571	45942	2006-09-14	2018-01-24	Chromosome	US DOE Joint Genome Institute (JGI	SAMN02953657
Sorghum bicolor	4558	PRJNA13876	13876	Plants	Land Plants	709.345	44.1611	GCA_000003195.3	chromosome 1:NC_012870.2/CM000760.3; chromosome 2:NC_012871.2/CM000761.3; chromosome 3:NC_012872.2/CM000762.3; chromosome 4:NC_012873.2/CM000763.3; chromosome 5:NC_012874.2/CM000764.3; chromosome 6:NC_012875.2/CM000765.3; chromosome 7:NC_012876.2/CM000766.3; chromosome 8:NC_012877.2/CM000767.3; chromosome 9:NC_012878.2/CM000768.3; chromosome 10:NC_012879.2/CM000769.3; mitochondrion MT:NC_008360.1/DQ984518.1; chloroplast Pltd:NC_008602.1/EF115542.1	ABXC03	869	32910	39248	2009-05-22	2017-04-07	Chromosome	Sorghum Consortium	SAMN02953738
Chlamydomonas reinhardtii	3055	PRJNA12260	12260	Plants	Green Algae	120.405	61.9512	GCA_000002595.2	mitochondrion MT:NC_001638.1/U03843.1; chloroplast Pltd:NC_005353.1/BK000554.2	ABCN01	1558	14488	14488	2007-08-03	2018-01-26	Scaffold	DOE Joint Genome Institute	SAMN02953692
Brassica napus	3708	PRJNA293435	293435	Plants	Land Plants	976.191	37.4074	GCA_000686985.2	chromosome A1:NC_027757.2/CM002759.2; chromosome A2:NC_027758.2/CM002760.2; chromosome A3:NC_027759.2/CM002761.2; chromosome A4:NC_027760.2/CM002762.2; chromosome A5:NC_027761.2/CM002763.2; chromosome A6:NC_027762.2/CM002764.2; chromosome A7:NC_027763.2/CM002765.2; chromosome A8:NC_027764.2/CM002766.2; chromosome A9:NC_027765.2/CM002767.2; chromosome A10:NC_027766.2/CM002768.2; chromosome C1:NC_027767.2/CM002769.2; chromosome C2:NC_027768.2/CM002770.2; chromosome C3:NC_027769.2/CM002771.2; chromosome C4:NC_027770.2/CM002772.2; chromosome C5:NC_027771.2/CM002773.2; chromosome C6:NC_027772.2/CM002774.2; chromosome C7:NC_027773.2/CM002775.2; chromosome C8:NC_027774.2/CM002776.2; chromosome C9:NC_027775.2/CM002777.2; plasmid linear plasmid:NC_004946.1/AB073400.1; mitochondrion MT:NC_008285.1/AP006444.1; chloroplast Pltd:NC_016734.1/GQ861354.1	JMKK02	1471	119453	123467	2014-05-05	2017-09-15	Chromosome	NCBI	SAMN02742820
Beta vulgaris subsp. vulgaris	3555	PRJNA41497	41497	Plants	Land Plants	566.55	37.305	GCA_000511025.2	chromosome 1:NC_025812.2/CM002321.2; chromosome 2:NC_025813.2/CM002322.2; chromosome 3:NC_025814.2/CM002323.2; chromosome 4:NC_025815.2/CM002324.2; chromosome 5:NC_025816.2/CM002325.2; chromosome 6:NC_025817.2/CM002326.2; chromosome 7:NC_025818.2/CM002327.2; chromosome 8:NC_025819.2/CM002328.2; chromosome 9:NC_025820.2/CM002329.2; mitochondrion MT:NC_002511.2/BA000009.3	AYZS02	40406	27429	32874	2013-12-18	2015-07-07	Chromosome	Beta vulgaris resource	SAMN02182557
Brassica rapa	3711	PRJNA59981	59981	Plants	Land Plants	284.129	35.826	GCA_000309985.1	chromosome A1:NC_024795.1/; chromosome A2:NC_024796.1/; chromosome A3:NC_024797.1/; chromosome A4:NC_024798.1/; chromosome A5:NC_024799.1/; chromosome A6:NC_024800.1/; chromosome A7:NC_024801.1/; chromosome A8:NC_024802.1/; chromosome A9:NC_024803.1/; chromosome A10:NC_024804.1/; chloroplast Pltd:NC_015139.1/DQ231548.1	AENI01	40432	48731	52553	2011-07-14	2016-10-13	Chromosome	Brassica rapa genome sequencing project, BraGSP	SAMN02981293
Helianthus annuus	4232	PRJNA396063	396063	Plants	Land Plants	3027.84	38.9115	GCA_002127325.1	linkage group 1:NC_035433.1/CM007890.1; linkage group 2:NC_035434.1/CM007891.1; linkage group 3:NC_035435.1/CM007892.1; linkage group 4:NC_035436.1/CM007893.1; linkage group 5:NC_035437.1/CM007894.1; linkage group 6:NC_035438.1/CM007895.1; linkage group 7:NC_035439.1/CM007896.1; linkage group 8:NC_035440.1/CM007897.1; linkage group 9:NC_035441.1/CM007898.1; linkage group 10:NC_035442.1/CM007899.1; linkage group 11:NC_035443.1/CM007900.1; linkage group 12:NC_035444.1/CM007901.1; linkage group 13:NC_035445.1/CM007902.1; linkage group 14:NC_035446.1/CM007903.1; linkage group 15:NC_035447.1/CM007904.1; linkage group 16:NC_035448.1/CM007905.1; linkage group 17:NC_035449.1/CM007906.1; plastid Pltd:CM007907.1; chloroplast Pltd:NC_007977.1/DQ383815.1; mitochondrion MT:CM007908.1; mitochondrion MT:NC_023337.1/KF815390.1	MNCJ01	1528	81711	73941	2017-05-08	2017-10-12	Chromosome	NCBI	SAMN05868438
Lactuca sativa	4236	PRJNA432228	432228	Plants	Land Plants	2384.19	35.0002	GCA_002870075.1	chloroplast:NC_007578.1/AP007232.1	NBSK01	11453	38816	38378	2018-01-09	2018-01-12	Scaffold	NCBI	SAMN01730979
